																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
15	18-A321	VJ724	DAD-HPH	15:45	17:05	1:20	0:25	1234567	31/Mar	26/Oct								
15	18-A321	VJ723	HPH-DAD	17:30	18:45	1:15	0:25	1234567	31/Mar	26/Oct								
15	18-A321	VJ524	DAD-HAN	19:10	20:30	1:20	0:30	1234567	31/Mar	26/Oct								
15	18-A321	VJ495	HAN-BMV	20:50	22:35	1:45	0:25	1234567	31/Mar	26/Oct								
15	18-A321	VJ496	BMV-HAN	23:00	0:45	1:45	0:35	1234567	31/Mar	26/Oct								
																		
																		
16	19-A321	VJ463	HAN-VCA	6:10	8:20	2:10	0:25	1234567	31/Mar	26/Oct								
16	19-A321	VJ462	VCA-HAN	8:45	10:55	2:10	0:30	1234567	31/Mar	26/Oct								
16	19-A321	VJ421	HAN-PXU	11:25	13:00	1:35	0:25	1234567	31/Mar	26/Oct								
16	19-A321	VJ422	PXU-HAN	13:25	15:00	1:35	0:40	1234567	31/Mar	26/Oct								
16	19-A321	VJ493	HAN-BMV	15:40	17:25	1:45	0:25	1234567	31/Mar	26/Oct								
16	19-A321	VJ494	BMV-HAN	17:50	19:35	1:45	0:30	1234567	31/Mar	26/Oct								
16	19-A321	VJ525	HAN-DAD	20:05	21:25	1:20	0:25	1234567	31/Mar	26/Oct								
16	19-A321	VJ528	DAD-HAN	21:50	23:10	1:20	0:30	1234567	31/Mar	26/Oct								
NEW	19-A321	VJ1521	HAN-DAD	23:40	1:00	1:20	0:25	1234567	10/Jun	26/Oct								
NEW	19-A321	VJ1532	DAD-HAN	1:25	2:45	1:20	3:25	1234567	10/Jun	26/Oct								
																		
																		
17	20-A321	VJ451	HAN-PQC	6:30	8:35	2:05	0:25	1234567	31/Mar	26/Oct								
17	20-A321	VJ452	PQC-HAN	9:00	11:05	2:05	0:30	1234567	31/Mar	26/Oct								
17	20-A321	VJ775	HAN-CXR	11:35	13:25	1:50	0:25	1234567	31/Mar	26/Oct								
17	20-A321	VJ776	CXR-HAN	13:50	15:40	1:50	0:40	1234567	31/Mar	26/Oct								
17	20-A321	VJ787	HAN-CXR	16:20	18:10	1:50	0:25	1234567	31/Mar	26/Oct								
17	20-A321	VJ788	CXR-HAN	18:35	20:25	1:50	0:30	1234567	31/Mar	26/Oct								
17	20-A321	VJ533	HAN-DAD	20:55	22:15	1:20	0:25	1234567	30/May	26/Oct								
17	20-A321	VJ534	DAD-HAN	22:40	0:00	1:20	0:30	1234567	30/May	26/Oct								
																		
																		
18	21-A321	VJ771	HAN-CXR	5:45	7:35	1:50	0:25	1234567	31/Mar	26/Oct								
18	21-A321	VJ770	CXR-HAN	8:00	9:50	1:50	0:30	1234567	31/Mar	26/Oct								
18	21-A321	VJ401	HAN-DLI	10:20	12:10	1:50	0:25	1234567	31/Mar	26/Oct								
18	21-A321	VJ402	DLI-HAN	12:35	14:25	1:50	0:40	1234567	31/Mar	26/Oct								
18	21-A321	VJ425	HAN-PXU	15:05	16:40	1:35	0:25	1234567	31/Mar	26/Oct								
18	21-A321	VJ426	PXU-HAN	17:05	18:40	1:35	0:30	1234567	31/Mar	26/Oct								
18	21-A321	VJ409	HAN-DLI	19:10	21:00	1:50	0:25	1234567	24/May	26/Oct								
18	21-A321	VJ410	DLI-HAN	21:25	23:15	1:50	0:30	1234567	24/May	26/Oct								
NEW	21-A321	VJ1771	HAN-CXR	23:45	1:35	1:50	0:25	1234567	10/Jun	26/Oct								
NEW	21-A321	VJ1774	CXR-HAN	2:00	3:50	1:50	1:55	1234567	10/Jun	26/Oct								
																		
																		
19	22-A321	VJ460	VCA-HAN	6:00	8:10	2:10	0:30	1234567	31/Mar	26/Oct								
19	22-A321	VJ461	HAN-VCA	8:45	11:00	2:10	0:25	1234567	31/Mar	26/Oct								
19	22-A321	VJ702	VCA-DAD	11:20	12:50	1:30	0:25	1234567	31/Mar	26/Oct								
19	22-A321	VJ703	DAD-VCA	13:15	14:45	1:30	0:40	1234567	31/Mar	26/Oct								
19	22-A321	VJ480	VCA-VII	15:25	17:15	1:50	0:25	1357	31/Mar	26/Oct								
19	22-A321	VJ481	VII-VCA	17:40	19:30	1:50	0:25	1357	31/Mar	26/Oct								
19	22-A321	VJ488	VCA-HPH	15:10	17:15	2:05	0:25	246	31/Mar	26/Oct								
19	22-A321	VJ489	HPH-VCA	17:40	19:45	2:05	0:25	246	31/Mar	26/Oct								
19	22-A321	VJ700	VCA-DAD	20:10	21:40	1:30	0:25	1234567	1/Jun	26/Oct								
19	22-A321	VJ701	DAD-VCA	22:05	23:35	1:30	0:25	1234567	1/Jun	26/Oct								
																		
																		
20	23-A321	VJ1222	SGN-VII	4:30	6:20	1:50	0:25	1234567	31/Mar	26/Oct								
20	23-A321	VJ211	VII-SGN	6:45	8:35	1:50	0:30	1234567	31/Mar	26/Oct								
